1228	ZA
1229	ZA
1230	ZA
1231	ZA
1232	ZA
2018	ZA
2905	ZA
3067	ZA
3068	ZA
3741	ZA
4571	ZA
5713	ZA
5734	ZA
6083	ZA
6149	ZA
6180	ZA
6529	ZA
6560	ZA
6968	ZA
7020	ZA
7154	ZA
7231	ZA
7390	ZA
7420	ZM
7460	ZA
7971	ZA
7972	ZA
8094	ZA
10247	ZA
10262	ZA
10505	ZA
10540	ZA
10575	ZA
10798	ZA
10803	ZA
10898	ZA
11125	ZA
11157	ZA
11259	AO
11569	ZA
11645	ZA
11744	ZA
11845	ZA
12091	ZA
12143	TZ
13854	ZA
14115	ZA
14331	ZA
14516	ZA
14988	BW
15022	ZA
16416	ZA
16800	ZA
17148	ZA
17400	AO
17652	MU
18775	ZA
18922	ZW
18931	ZA
19136	ZA
19232	ZA
19847	ZA
20011	ZA
20459	NA
22354	TZ
22355	ZA
22386	ZA
22572	ZA
22750	ZA
23058	ZA
23889	MU
25695	LS
25793	ZA
26106	ZA
26422	ZA
27576	ZW
29918	ZA
29975	ZA
30073	ZA
30619	MZ
30983	MA
30984	NG
30985	ML
30986	GH
30987	ER
30988	NG
30990	DJ
30993	EG
30994	KE
30995	EG
30998	NG
31810	TZ
31960	MZ
32017	MZ
32398	SZ
32437	ZA
32653	ZA
32714	ZA
32717	AO
32860	TZ
33567	LS
33579	ZA
33762	ZA
33763	NA
33766	ZA
33767	LS
33768	ZA
33769	ZA
30999	MU
33770	KE
33771	KE
33772	TZ
33773	MW
33774	DZ
33778	EG
33779	DZ
33780	GH
33781	BW
33782	EG
33784	ZA
33785	EG
33786	GH
33789	EG
33791	TZ
36864	ML
36865	MZ
36866	KE
36867	SC
36870	EG
36871	ZA
36873	NG
36874	ZA
36875	ZA
36876	UG
36877	ZA
36879	DZ
36880	GA
36881	AO
36882	MU
36883	ZA
36885	EG
36887	NG
36889	ZA
36890	RW
36891	DZ
36893	EG
6187	ZA
36894	MU
36897	ZA
36900	GH
36901	UG
36902	SC
36903	MA
36905	CM
36906	EG
36907	AO
36908	TZ
36909	TZ
36911	NG
36912	CM
36914	KE
36916	ZA
36917	AO
36919	ZA
36920	NG
36921	NG
36922	NG
36923	NG
36925	MA
36926	KE
36928	SL
36929	EG
36930	TZ
36931	ZA
36932	NG
36933	NG
36935	EG
36937	ZA
36939	KM
36941	MA
36943	ZA
36945	MZ
36946	CI
36947	DZ
36948	KE
36951	ZA
36952	KE
36953	ZA
36954	NG
36955	CM
36956	MA
36957	NG
36958	SC
36959	ZM
36960	ZA
36961	GH
36962	ZM
36963	BW
36964	EG
36965	TZ
36967	KE
36968	ZA
36969	MW
36970	NG
36971	EG
36975	KE
12455	KE
36976	AO
15399	KE
15706	SD
15804	EG
15825	GH
2561	EG
6127	EG
6713	MA
8524	EG
9129	ZA
15964	CM
16058	GA
16284	NG
16637	ZA
20484	EG
20858	EG
20928	EG
21271	ML
21391	DZ
24736	EG
24757	ET
24788	ZA
24835	EG
24863	EG
24878	EG
24987	EG
25163	NG
25250	GM
25362	EG
25364	EG
25543	BF
25576	EG
27598	ZA
28698	ZA
28913	EG
29091	NG
29428	EG
29495	EG
29571	CI
29614	GH
29674	GH
30980	GH
31065	EG
31245	TN
31619	EG
15475	EG
36978	EG
36979	NG
16907	KE
36982	ZA
36983	ZA
36985	ZA
36986	ZW
36987	KE
36989	DZ
36991	UG
36992	EG
36993	NG
36994	ZA
36995	CI
36996	NA
16214	DZ
36884	MA
36997	UG
36998	SD
36999	NA
37001	NG
37002	RE
37003	EG
37005	NG
37006	RW
37007	ZA
36944	ZA
37008	BF
36915	KE
37009	NA
37010	RW
37011	AO
37012	GH
37013	TZ
37014	BW
37016	ZA
37018	NG
37019	KE
37020	CD
37023	NG
37025	NG
37026	NA
37027	TZ
37028	ZA
37030	GH
37031	EG
37032	GH
37034	CM
37035	TZ
37036	AO
37037	MG
37038	NE
37042	MZ
37043	ZM
37044	KE
37045	TZ
37046	MU
37047	MZ
37049	ZA
37051	BW
37052	KE
37053	ZA
37054	MG
37055	ZA
